Mecz	Wynik	Damian	Ryszard	Paweł	Łukasz
Lech Poznań – Górnik Zabrze	2:0	1:1	0:0	1:3	1:2
Cracovia Kraków – Piast Gliwice	1:1	1:1	2:1	1:1	1:1
GKS Katowice – Radomiak Radom	1:2	1:1	0:0	2:0	1:0
Jagiellonia Białystok – Puszcza Niepołomice	2:0	2:1	2:0	1:1	1:1
Legia Warszawa – Zagłębie Lubin	2:0	3:1	2:0	2:0	2:0
Motor Lublin – Raków Częstochowa	0:2	1:2	0:1	0:2	1:1
Pogoń Szczecin – Korona Kielce	3:0	2:1	1:0	3:1	2:1
Stal Mielec – Widzew Łódź	1:1	2:2	1:2	1:1	1:1
Śląsk Wrocław – Lechia Gdańsk	1:1	2:1	1:1	2:1	2:2
